,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,stab_9,stab_9,Data,Data,Data,num
191,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,16
192,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
193,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,4
194,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,3
195,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,54
196,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,3
197,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,4
198,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,9
199,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1
200,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,5
201,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
202,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,4
203,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,2
204,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1
205,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2
206,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11
207,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4
208,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,16
209,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,2
210,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,9
211,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
212,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,2
213,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,13
214,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1
215,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,19
216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2
217,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,11
218,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8
219,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,14
220,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,174
222,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4
223,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,6
224,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,128
225,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,3
226,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,2
227,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,8
228,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,69
229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,3
230,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
231,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,9
232,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,4
233,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
234,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
235,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3
236,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
237,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,6
238,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2
239,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
240,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
241,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
242,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3
244,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
245,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,4
246,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1
247,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
248,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,10
249,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,3
250,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,2
251,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,5
252,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,4
253,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,3
254,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,2
255,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,11
256,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1
257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,5
258,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,10
259,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,10
260,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,12
261,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,9
262,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
263,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,74
264,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,7
265,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,15
266,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,2
267,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,6
268,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,3
269,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,3
270,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2
271,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1
272,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
273,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,5
274,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,10
