,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
321,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,4
322,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
323,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2
324,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1
325,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
326,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,2
327,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,4
328,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,2
329,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,5
330,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,15
331,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,5
332,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,11
333,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2
334,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,3
335,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
336,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,3
337,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
338,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,5
339,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,6
340,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
341,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5
342,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,2
343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
344,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2
345,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,2
346,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
347,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,15
348,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1
349,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
350,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2
351,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,6
352,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,5
353,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3
354,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1
355,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2
