,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
236,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,10
237,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,6
238,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,4
239,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4
240,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
241,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6
242,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4
243,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
244,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,4
245,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1
246,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1
247,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2
248,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,7
249,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,7
250,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,12
251,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
252,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,79
253,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,9
254,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,9
255,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,10
256,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,8
257,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,2
258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
259,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
260,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,16
261,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
262,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5
263,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,2
264,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
265,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,3
266,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1
267,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,3
268,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,12
269,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,19
270,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,9
271,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,7
272,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,4
273,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
274,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,9
275,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,3
276,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,9
277,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,8
278,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,6
279,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,3
280,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2
281,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,4
282,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,4
283,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,11
284,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
285,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1
286,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,5
287,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
288,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7
289,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,3
290,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
