,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
321,0,0,0,0,1,0,1,0,0,0,0,0,0,31
322,1,1,0,0,0,0,0,1,0,0,0,0,1,9
323,0,0,0,0,0,0,1,1,0,0,1,1,0,9
324,0,0,1,0,0,0,0,1,1,0,0,0,0,32
325,0,0,0,0,0,0,0,1,1,1,0,1,0,25
326,0,1,1,0,0,0,1,0,0,0,0,0,0,14
327,0,0,0,0,1,0,1,1,0,0,0,1,0,3
328,0,1,0,0,1,0,0,0,0,1,0,1,0,2
329,1,0,1,0,0,0,0,0,0,1,0,0,0,16
330,0,0,1,0,0,0,1,0,1,1,0,0,0,5
331,0,0,0,0,0,1,0,0,0,1,0,0,0,12
332,1,0,1,0,1,0,0,0,0,0,0,1,0,12
333,0,0,1,1,1,0,0,0,0,0,1,1,0,14
334,0,1,1,0,0,0,0,0,1,0,0,0,0,26
335,0,1,0,0,0,0,0,1,0,1,0,0,0,23
336,0,1,1,0,0,0,0,1,0,0,1,1,0,11
337,0,0,1,0,0,0,0,1,0,0,1,0,1,45
338,0,0,1,0,1,1,0,0,0,0,0,0,0,3
339,0,0,0,0,1,0,0,1,0,0,0,1,0,50
340,0,0,0,0,0,0,1,1,1,0,0,1,0,3
341,0,0,1,1,0,0,0,1,1,0,0,0,0,4
342,0,0,1,1,1,1,0,0,0,0,0,0,0,6
343,0,0,1,1,0,0,0,1,0,0,1,0,0,13
344,0,0,0,1,0,1,1,0,1,1,0,0,0,2
345,0,0,1,0,0,0,1,1,0,0,0,1,0,55
346,0,0,1,1,1,1,0,0,0,0,0,1,0,3
347,1,0,1,0,0,0,0,0,1,0,1,1,0,4
348,0,0,1,0,0,0,1,0,0,1,1,0,0,10
349,0,1,1,0,0,0,0,0,0,1,0,0,0,12
350,0,0,0,0,0,1,0,0,0,0,1,0,0,17
351,0,0,0,0,0,0,0,0,0,1,0,0,1,16
352,0,1,0,0,0,0,0,0,0,1,0,1,0,9
353,0,0,1,1,0,0,0,0,1,0,1,0,0,8
354,1,0,1,0,1,0,0,0,0,0,1,1,0,5
