,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
244,0,1,1,0,0,1,1,0,1,0,0,1,1,5
245,1,0,1,1,1,0,1,1,1,0,0,1,0,1
246,1,1,0,0,0,0,0,0,1,0,1,1,0,6
247,1,0,1,1,1,0,0,0,0,1,1,0,1,3
248,0,1,1,0,0,0,0,0,1,1,0,0,1,1
249,0,1,1,1,0,1,1,0,1,1,0,1,0,9
250,0,0,1,0,0,0,0,0,1,1,0,0,1,2
251,1,1,0,0,1,1,0,0,0,0,1,1,1,14
252,0,0,1,1,0,0,1,1,1,1,1,0,0,5
253,1,0,1,1,0,0,0,0,0,1,1,0,1,1
254,1,0,0,1,0,0,0,0,1,0,1,1,0,2
255,1,1,0,1,0,0,0,0,1,0,1,1,1,7
256,0,0,1,0,0,0,1,0,1,1,1,0,0,3
257,1,1,0,1,1,0,0,0,0,0,1,1,0,1
258,0,1,0,1,0,0,0,0,0,1,1,1,1,1
259,0,1,1,0,1,1,0,0,1,0,1,1,1,1
260,0,0,0,0,0,0,0,1,1,0,1,1,1,3
261,0,1,0,1,0,0,0,0,1,1,0,1,0,2
262,0,1,1,0,0,0,0,0,0,1,0,1,1,8
263,0,0,0,1,0,0,0,1,1,0,1,0,0,1
264,0,0,0,0,1,0,0,0,1,0,1,1,1,5
265,0,0,0,0,0,0,1,0,1,0,1,1,1,3
266,0,0,1,1,0,0,0,0,0,1,1,0,1,7
267,0,1,1,1,0,0,1,1,1,1,1,0,0,1
268,1,0,0,0,0,1,0,1,1,0,1,1,1,1
269,1,0,0,0,0,0,0,1,0,1,1,1,1,4
270,0,1,1,0,0,0,0,0,1,1,1,1,1,10
271,0,0,1,0,1,1,0,0,1,1,1,1,1,2
272,0,1,0,0,0,0,0,0,0,1,0,1,1,5
273,0,0,1,1,0,0,0,0,1,1,0,1,1,2
274,0,0,1,1,1,0,0,0,1,1,1,0,1,5
275,1,0,1,0,1,0,1,0,1,1,0,1,1,1
276,0,1,1,1,1,0,1,1,1,0,0,0,1,1
277,1,0,1,1,0,0,1,0,1,1,1,0,1,1
278,0,1,0,0,1,1,0,0,0,0,1,1,1,7
279,0,0,1,1,1,0,0,1,1,1,1,0,1,2
