,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
324,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1
325,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
326,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,33
327,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3
328,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1
329,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1
330,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,5
331,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2
332,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1
333,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1
334,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,5
335,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,5
336,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1
337,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,9
338,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,14
339,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
340,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,6
341,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1
342,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,2
343,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
344,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,17
345,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,24
346,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,8
347,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1
348,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
349,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,4
350,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
351,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,4
352,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,5
353,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,2
354,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
355,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1
356,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,2
