,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_4,stab_4,stab_4,stab_4,Data,Data,Data,Data,Data,num
228,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,13
229,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,11
230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3
231,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,17
232,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1
233,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
234,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
235,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,3
236,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2
237,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,3
238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,4
239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,83
240,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1
241,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,3
242,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1
243,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,6
244,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,2
245,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,2
246,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,4
247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,6
248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,5
249,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2
250,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
251,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,9
252,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
253,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
254,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
255,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
256,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,29
257,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11
258,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1
259,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,13
260,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,4
261,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1
262,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,3
263,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8
264,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,10
265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,42
266,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,9
267,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,9
268,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1
269,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1
270,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1
271,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,3
272,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,11
273,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
274,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
275,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
276,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,10
277,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1
278,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,4
279,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,19
280,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,9
281,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,3
282,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1
283,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1
284,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1
285,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,7
286,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,3
287,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,3
288,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,2
289,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
290,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,2
291,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,7
