,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
325,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9
326,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
327,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,6
328,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1
329,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
330,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3
331,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,2
332,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
333,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,6
334,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,7
335,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,7
336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15
337,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
338,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1
339,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,2
340,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4
341,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13
342,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,19
343,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
344,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11
345,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,5
346,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1
347,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
348,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5
349,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
350,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
351,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7
352,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,5
353,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6
354,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,5
355,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4
356,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,2
