,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
343,1,0,0,0,1,0,0,1,1,0,0,1
344,0,1,1,1,1,1,1,1,1,0,1,2
345,1,0,0,0,1,0,1,0,1,0,1,1
346,1,0,1,0,1,1,1,0,1,0,1,1
347,1,1,0,0,1,0,1,0,1,0,1,1
348,1,1,0,1,1,1,1,1,1,0,1,2
349,1,1,1,0,0,0,1,0,1,0,1,1
350,1,1,1,1,0,0,1,0,1,0,1,1
351,0,0,0,0,0,0,1,0,1,1,0,2
352,0,1,1,1,0,1,0,0,1,1,0,1
353,1,1,0,1,0,0,0,1,1,1,0,1
354,1,1,1,1,1,1,1,1,0,1,1,2
355,0,1,0,0,1,1,0,0,0,0,1,1
356,1,1,0,1,0,0,0,1,1,0,0,1
357,0,0,1,0,1,1,0,0,1,1,1,1
358,0,0,0,1,1,1,1,1,0,0,1,1
359,1,1,0,1,0,0,0,0,1,1,0,2
360,0,0,1,0,1,0,1,0,0,0,1,1
361,0,0,0,1,0,1,0,0,0,1,1,3
362,1,1,1,1,0,0,0,0,1,1,1,1
363,1,0,0,0,0,0,1,0,1,1,1,1
364,1,1,1,1,0,1,1,0,1,0,1,1
365,0,1,0,0,0,0,0,0,0,0,1,1
366,0,0,1,0,0,0,0,0,0,1,0,1
367,0,0,0,0,0,0,1,0,1,0,1,2
368,1,1,1,1,0,0,0,0,0,1,1,1
369,1,1,0,0,0,1,0,1,1,0,1,1
370,1,0,0,1,0,0,0,0,1,0,1,1
371,0,0,0,0,1,1,0,1,1,1,1,1
372,1,0,1,1,1,1,1,1,1,0,0,1
373,0,1,0,0,0,0,1,0,1,1,0,1
374,1,1,1,1,1,1,0,1,1,0,0,1
375,1,1,1,0,0,0,0,0,0,0,1,1
376,1,0,1,0,0,1,0,1,1,0,1,1
377,0,1,0,1,1,1,1,0,0,0,1,1
378,1,1,0,1,0,1,0,1,0,0,1,1
379,1,1,0,1,0,1,0,1,1,1,0,1
380,1,1,1,0,1,1,0,1,0,1,1,1
381,1,0,1,0,1,0,0,1,1,1,1,1
382,0,0,0,0,1,0,0,0,1,1,0,1
383,1,0,0,0,0,1,0,1,1,1,1,1
384,1,1,1,1,1,1,0,1,1,1,1,1
385,1,1,1,1,1,0,0,1,0,1,1,1
386,1,0,0,1,0,0,0,1,0,1,1,1
387,0,0,0,0,1,1,0,0,1,1,0,1
388,0,1,1,1,0,1,0,0,1,0,1,1
389,0,1,0,1,1,1,0,1,0,0,1,1
390,1,1,1,1,1,1,0,1,0,0,1,2
391,0,1,0,1,1,1,1,1,0,1,0,1
392,1,0,0,0,1,0,1,0,1,1,1,1
393,0,1,1,1,1,1,1,0,1,1,1,1
394,1,1,0,1,0,1,0,0,1,0,0,1
395,0,1,0,1,1,0,0,1,0,0,1,1
396,1,1,1,1,0,1,0,0,1,0,0,1
397,0,0,0,1,0,0,0,0,1,0,1,1
398,0,0,0,0,1,0,0,0,1,0,0,1
