,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,Data,Data,num
250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8
251,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4
252,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1
253,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,3
254,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11
255,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5
256,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,12
257,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8
258,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1
259,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5
260,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,9
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8
262,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7
263,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,22
264,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
265,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1
266,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,8
267,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
268,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
269,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6
270,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4
271,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
272,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,2
273,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5
274,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16
275,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7
276,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4
277,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
278,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6
279,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
280,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
281,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,12
282,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2
283,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,9
284,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2
285,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,30
286,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,8
287,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
288,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
289,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
290,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
291,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
292,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,38
293,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
294,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
295,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
297,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,4
298,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,6
299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24
300,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10
301,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3
302,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
303,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
304,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
305,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4
306,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4
307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,17
308,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7
309,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27
310,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,4
311,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6
312,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6
313,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
314,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,6
315,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
316,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
317,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
318,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
319,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9
320,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
321,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
