,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
327,1,1,1,0,0,0,0,0,1,1,1,0,1,1
328,1,0,0,0,1,0,0,1,1,1,1,1,1,3
329,1,1,0,0,1,1,0,0,1,1,0,1,1,2
330,0,1,1,0,0,0,0,0,1,1,0,0,1,1
331,1,1,0,0,0,0,0,1,1,1,1,1,1,1
332,1,1,0,0,0,0,0,1,1,1,1,1,0,1
333,0,1,0,0,0,0,0,0,0,0,1,1,1,6
334,0,1,1,1,0,1,1,1,1,1,0,1,0,4
335,0,0,1,0,0,0,0,0,0,1,1,0,1,3
336,1,1,0,0,0,0,1,0,1,0,1,1,0,1
337,1,0,0,0,1,0,0,1,1,0,1,1,1,2
338,1,1,1,0,0,1,1,0,0,1,0,1,1,3
339,0,1,0,0,0,0,0,1,1,0,1,1,1,1
340,0,1,0,1,0,0,0,1,1,1,1,1,1,8
341,1,1,1,0,1,1,0,0,0,1,0,1,1,2
342,0,1,0,0,1,1,0,1,1,0,1,1,1,1
343,1,0,0,0,1,0,0,0,0,1,1,0,1,4
344,1,1,0,0,1,1,0,1,1,1,1,1,1,1
345,1,1,1,1,1,1,1,0,1,1,1,0,1,1
346,1,1,1,0,0,1,1,0,1,0,0,1,1,2
347,1,0,0,1,1,0,0,0,1,1,1,1,0,2
348,1,1,1,0,0,0,0,0,1,0,0,1,1,1
349,0,1,0,0,0,1,0,0,0,0,1,1,1,5
350,1,0,1,1,1,0,1,1,0,1,1,0,1,2
351,1,1,0,0,1,0,0,0,0,0,1,1,1,5
352,0,0,1,1,0,0,1,0,1,0,1,0,1,3
353,0,1,0,0,0,1,0,1,1,1,1,0,1,1
354,0,1,1,0,0,1,1,1,1,1,1,0,1,1
355,1,0,0,1,0,0,0,0,1,0,1,1,1,3
356,1,1,1,1,1,1,0,1,1,0,1,0,1,2
357,1,0,1,1,0,1,1,1,1,0,0,1,0,1
358,1,0,0,0,1,0,0,0,0,1,1,1,0,2
359,0,1,0,1,0,0,0,1,1,1,1,1,0,5
360,0,1,0,1,0,0,0,0,1,1,1,1,1,4
361,1,0,0,1,1,0,0,1,0,1,1,1,0,6
362,0,1,1,1,0,0,0,0,1,1,0,0,1,1
363,0,0,1,1,0,0,1,1,1,1,1,1,1,3
364,0,0,1,1,0,0,1,1,1,0,1,0,1,2
365,1,1,0,0,1,1,1,0,1,1,1,1,1,1
366,1,1,1,0,1,1,1,0,0,1,0,1,1,3
367,1,0,1,1,0,0,1,0,1,0,1,0,1,2
368,0,1,0,0,0,0,0,0,0,1,1,1,0,1
369,0,1,1,1,0,0,0,1,1,1,0,1,1,4
370,1,0,1,0,0,1,0,0,1,1,1,1,1,1
371,0,0,0,1,1,0,0,0,1,1,1,1,0,4
372,1,1,0,0,0,0,0,1,0,0,1,1,1,2
373,1,1,1,0,0,0,0,0,1,1,0,1,0,1
374,0,0,1,0,0,1,0,0,1,1,1,0,1,4
375,0,0,0,1,0,0,0,1,1,1,0,1,0,4
376,1,0,1,1,0,0,1,1,0,1,1,0,1,6
377,0,0,1,1,0,0,0,0,1,0,1,0,1,1
378,1,1,1,0,1,0,0,1,0,1,0,1,1,1
379,0,0,0,1,0,1,0,1,1,1,1,1,1,5
380,1,1,0,0,1,0,0,0,0,0,1,0,1,1
381,0,0,1,1,1,0,0,1,1,1,1,0,1,1
382,0,0,1,0,0,1,1,0,1,0,0,1,1,1
383,0,0,0,1,1,0,0,1,1,1,0,1,0,1
384,1,0,1,0,0,0,0,0,0,1,1,0,1,2
385,0,0,1,0,0,1,1,0,1,1,1,1,1,4
386,1,0,1,1,0,0,1,1,1,1,1,0,1,1
387,1,0,0,1,1,0,0,0,0,1,1,1,1,5
388,1,1,0,0,1,0,1,0,0,1,0,1,1,1
389,0,0,0,0,0,1,1,0,1,0,1,1,1,2
390,0,0,0,0,1,1,0,0,0,1,1,1,1,4
391,0,0,1,0,0,0,0,0,0,1,1,1,1,2
392,0,1,1,0,0,1,0,0,1,0,0,1,1,2
393,1,0,1,1,1,0,0,0,0,1,1,0,1,7
394,1,1,0,0,0,0,0,0,0,0,1,0,1,1
395,0,0,1,1,1,0,0,1,1,1,0,1,1,1
396,0,0,0,1,0,0,0,0,1,0,1,0,1,1
397,0,0,0,0,1,1,0,0,1,0,1,1,1,4
398,1,1,0,0,1,1,1,0,1,0,1,1,1,5
399,1,1,1,1,0,0,0,1,1,1,1,0,1,1
400,0,1,1,0,0,1,0,1,1,1,0,1,1,1
401,0,0,0,1,0,0,0,1,1,1,1,0,0,2
402,1,1,1,0,0,0,0,0,1,1,0,1,1,2
403,1,1,1,0,1,1,0,0,1,1,0,1,1,1
404,0,1,0,0,1,1,0,1,1,1,1,1,1,1
405,0,1,1,0,0,0,0,0,1,0,0,1,1,2
406,0,0,0,0,0,0,0,0,0,0,1,0,1,1
407,1,1,1,0,0,0,0,0,1,0,1,1,1,3
408,0,1,1,0,0,1,0,0,0,0,1,0,1,1
409,0,0,1,1,1,1,0,1,1,1,1,0,1,1
410,0,1,1,1,0,0,1,1,1,1,1,0,1,3
411,1,1,0,1,1,1,0,0,1,0,1,1,1,4
412,1,1,0,0,0,0,1,0,1,1,1,1,1,3
413,0,0,1,0,0,0,1,0,1,1,0,1,1,1
414,0,1,0,0,0,0,0,0,1,0,0,1,0,1
415,1,0,0,1,0,1,0,1,1,1,1,1,0,1
416,0,1,0,1,1,1,0,0,1,1,1,0,0,1
417,0,0,0,0,1,0,0,0,0,1,0,1,1,1
418,1,1,1,1,0,0,0,1,1,1,0,1,0,1
419,1,1,0,1,1,1,1,1,1,0,1,1,0,1
420,0,1,1,0,0,0,0,0,1,1,0,1,0,3
421,0,0,0,0,0,0,1,0,1,1,0,1,1,2
422,0,0,1,1,0,0,1,1,1,0,0,0,1,1
423,0,1,1,1,0,1,0,1,1,1,0,1,1,3
424,0,1,0,1,0,1,0,1,1,1,1,1,0,1
425,1,1,0,1,0,0,0,0,1,1,1,1,1,1
426,0,1,0,1,0,0,0,0,1,1,1,1,0,4
427,0,0,1,0,0,0,0,1,1,1,1,0,1,1
428,1,0,1,0,0,1,1,0,1,0,1,1,1,1
429,0,1,0,1,0,0,0,0,0,1,1,1,0,1
430,1,1,0,1,1,1,0,0,1,0,1,0,0,1
431,0,0,1,1,0,1,0,1,1,1,1,1,0,1
432,0,0,0,0,0,1,1,0,1,1,0,1,1,1
433,1,0,0,1,1,0,0,1,1,1,1,1,1,6
434,0,1,1,1,0,1,0,0,1,1,0,1,1,1
435,1,0,0,1,1,0,0,1,1,1,1,1,0,4
436,1,0,0,0,0,0,0,0,1,1,1,1,0,1
437,1,1,0,1,0,1,0,1,1,0,1,1,1,1
438,0,0,0,0,1,0,0,0,1,1,1,0,0,1
439,0,1,0,1,0,0,1,0,1,1,0,0,0,1
440,1,0,0,0,0,1,0,0,1,0,1,1,1,2
441,0,0,0,0,0,1,0,0,0,0,1,1,1,2
442,1,1,0,1,1,1,0,0,1,0,1,1,0,3
443,0,0,0,1,1,1,0,1,1,1,1,1,1,2
444,0,1,0,0,0,0,1,1,1,1,0,0,1,1
445,1,0,1,0,1,1,0,0,1,0,0,1,1,5
446,0,0,0,1,1,1,0,0,1,1,0,1,0,1
447,0,0,1,1,0,1,0,1,1,1,1,0,1,1
448,0,1,0,1,0,0,1,1,1,1,0,0,1,3
449,1,1,1,1,1,1,0,0,1,1,1,0,1,2
450,1,0,1,1,0,0,0,0,0,1,1,0,1,1
451,0,0,1,0,0,1,0,0,0,1,1,1,1,1
452,0,0,0,1,0,0,0,0,0,1,1,0,1,1
453,1,0,0,1,1,1,0,0,1,1,1,1,1,1
454,1,1,0,1,1,0,0,0,1,0,1,0,1,1
