,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
211,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1
212,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,36
214,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
215,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
216,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1
217,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
218,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,18
219,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,9
220,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1
221,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,12
222,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,6
223,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
224,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,6
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
226,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,2
227,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
228,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,3
229,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
230,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2
231,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,3
232,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,14
233,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,2
234,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,6
235,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,2
236,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,2
237,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,3
238,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,11
239,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
240,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
241,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,3
242,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,7
243,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,6
244,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
245,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,14
246,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,2
247,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,9
248,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,15
249,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1
250,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
251,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2
252,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,11
253,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,2
254,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
255,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5
256,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,2
257,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,2
258,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,6
259,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,14
260,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2
261,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,17
262,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,4
263,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6
264,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,18
265,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,94
266,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,26
267,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,13
268,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1
269,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1
270,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,2
271,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
272,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,2
273,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,6
274,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1
275,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,23
276,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,3
277,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1
278,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,2
279,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,2
280,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,7
281,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,2
282,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
283,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,6
284,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,7
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
286,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
287,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,11
288,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,3
289,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5
290,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,23
291,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,31
292,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4
293,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
294,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,2
295,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
296,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
297,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,7
298,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,3
299,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2
300,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,2
301,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,23
