,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,num
330,1,1,0,0,0,1,0,0,1,1,1,1,1,1
331,0,1,1,0,0,0,1,1,0,0,1,1,1,3
332,0,0,1,0,1,0,1,0,1,0,0,1,1,1
333,1,1,1,0,0,0,0,1,0,1,1,1,1,6
334,0,0,0,1,1,0,0,1,1,1,0,1,0,1
335,0,0,1,1,0,0,0,0,1,0,1,1,0,1
336,0,0,1,0,0,0,0,1,1,1,1,0,1,2
337,0,0,1,1,1,1,1,1,1,1,0,1,0,1
338,0,0,1,1,0,1,0,1,1,0,1,1,1,1
339,0,1,0,0,0,0,0,1,1,1,1,1,1,4
340,0,1,1,0,0,1,1,1,0,1,1,1,0,5
341,0,0,0,1,0,0,1,0,1,0,1,1,1,2
342,0,0,0,0,0,0,1,1,1,0,1,0,1,5
343,0,1,1,1,0,0,1,1,1,1,0,1,1,1
344,1,0,1,1,0,0,1,1,1,0,1,1,0,1
345,1,0,1,1,0,0,0,1,1,1,1,0,1,1
346,0,0,1,0,0,0,0,1,0,1,1,1,1,2
347,0,0,0,0,0,0,1,0,1,1,1,0,1,4
348,1,0,1,1,0,0,1,1,0,0,1,1,1,1
349,1,0,1,1,1,0,0,1,0,1,0,1,1,1
350,1,0,1,0,0,0,1,1,1,0,1,1,1,4
351,0,0,0,1,0,1,1,1,1,1,0,1,1,4
352,1,1,1,0,0,0,0,0,1,1,0,0,1,1
353,0,0,1,0,0,1,1,1,1,0,1,1,1,6
354,0,0,0,0,1,1,1,1,0,1,0,0,1,1
355,0,0,0,1,1,0,1,1,1,1,0,0,1,4
356,0,0,0,0,0,1,0,1,0,1,1,1,1,1
357,0,0,1,0,1,1,1,1,1,1,1,0,0,1
358,0,0,0,0,0,0,1,0,0,1,1,0,1,1
359,0,0,1,0,1,1,1,0,1,1,1,0,1,1
360,0,0,0,1,0,0,1,1,0,0,0,1,1,3
361,0,1,1,0,1,0,1,0,1,1,1,1,1,1
362,1,1,0,0,0,1,1,0,0,1,1,0,0,1
363,0,0,0,0,1,1,1,0,1,1,1,1,0,1
364,0,1,0,0,0,1,1,0,0,1,1,1,1,1
365,0,1,0,1,0,0,1,0,0,1,0,1,1,1
366,0,0,1,0,1,0,1,1,1,1,1,1,0,1
367,1,0,0,0,1,0,0,1,1,1,1,0,1,1
368,0,0,0,0,1,1,1,1,1,1,0,1,0,1
369,1,0,0,0,0,1,1,1,0,1,1,0,1,1
370,1,0,1,0,0,0,0,1,1,0,0,1,1,1
371,0,0,0,0,1,0,1,1,0,1,1,0,1,4
372,0,0,1,1,0,0,1,1,0,1,1,1,0,1
373,0,1,1,1,1,0,0,1,0,1,0,1,1,1
374,1,0,0,0,0,0,1,1,0,0,1,1,1,1
375,0,0,1,0,0,0,0,1,1,0,1,1,0,1
376,0,1,1,1,0,0,1,1,1,1,1,1,1,1
377,0,0,0,0,1,0,1,0,1,1,1,0,1,1
378,0,0,0,0,1,1,1,1,1,0,1,0,0,1
379,0,0,1,1,0,0,1,1,1,1,1,0,1,1
380,0,0,1,0,0,0,1,0,1,1,0,1,1,1
381,0,0,0,0,1,0,0,1,1,1,1,0,1,3
382,0,1,0,0,0,0,0,0,1,1,1,1,0,1
383,1,0,1,0,0,1,1,1,1,1,1,1,1,2
384,0,0,0,1,0,0,1,1,1,1,0,1,0,5
385,0,0,0,1,0,0,1,1,0,0,1,1,1,2
386,1,0,0,0,0,1,0,0,1,1,1,1,1,1
387,0,0,1,0,1,0,1,1,1,0,1,1,1,1
388,1,0,0,0,0,1,1,0,1,1,1,1,0,3
389,1,0,0,0,0,1,1,1,0,1,1,1,1,1
390,1,1,0,0,0,0,1,1,1,1,0,1,1,1
391,1,1,0,0,0,0,0,1,0,1,1,1,0,1
392,0,0,0,0,1,1,1,1,1,1,0,0,1,1
393,1,0,1,0,0,0,1,0,1,0,1,1,1,1
394,1,1,0,0,1,0,1,0,0,1,0,1,1,1
395,1,1,0,0,0,0,0,0,0,1,1,1,1,1
396,0,1,0,1,1,0,1,1,1,0,1,1,1,1
397,0,0,1,1,0,0,1,0,1,1,1,1,1,4
398,0,0,0,0,0,0,1,1,1,0,0,1,1,2
399,0,0,0,1,1,0,0,0,1,1,1,1,1,1
400,1,0,1,0,0,0,0,1,1,1,0,1,1,1
401,1,0,0,1,1,0,1,0,1,1,0,1,0,1
402,0,1,1,0,0,0,1,1,0,0,1,0,1,1
403,1,0,0,0,1,1,1,1,1,1,1,1,1,1
404,1,0,1,1,0,1,0,1,1,0,1,1,0,1
405,1,1,1,0,0,0,1,0,0,1,1,1,1,1
406,1,1,0,1,1,0,1,1,1,1,0,1,1,1
407,1,0,0,1,0,1,0,1,1,0,1,0,0,1
408,0,0,0,0,0,1,0,1,0,1,1,1,0,1
409,0,0,0,1,1,1,1,1,1,1,1,1,1,1
