,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
201,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
202,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,10
203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
204,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2
205,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4
206,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,22
207,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,38
208,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
209,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8
210,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
211,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10
212,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2
213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
214,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,3
215,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,2
216,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
217,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1
218,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,5
219,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,27
220,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,18
221,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
222,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
223,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,2
224,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1
225,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,25
226,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,3
227,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
228,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6
229,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,5
230,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6
231,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5
232,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,9
233,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
234,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3
235,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,5
236,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,2
237,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1
238,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,3
239,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12
